3num,tic,3CompanyID,3DirectorID,3DirectorName,3CompanyName,3RoleName,3DateStartRole,3DateEndRole,3Seniority,3ceo?,3Unnamed: 10
1,FITB,324,203638,Greg Carmichael,FIFTH THIRD BANCORP,Chairman/President/CEO,2/1/18,10/26/20,Executive Director,1,Greg Carmichael
2,ABMD,481,336173,Mike Minogue,ABIOMED INC (De-listed 12/2022),Chairman/President/CEO,6/15/05,12/22/22,Executive Director,1,Mike Minogue
3,ATVI,725,69696,Bobby Kotick,ACTIVISION BLIZZARD INC (De-listed 10/2023),CEO,6/26/17,10/13/23,Executive Director,1,Bobby Kotick
4,ADBE,808,49351,Shantanu Narayen,ADOBE INC (Adobe Systems Inc prior to 10/2018),Chairman/President/CEO,1/27/17,1/13/22,Executive Director,1,Shantanu Narayen
5,AMD,881,542142,Doctor Lisa Su,ADVANCED MICRO DEVICES INC (AMD),President/CEO,10/8/14,2/14/22,Executive Director,1,Doctor Lisa Su
6,AES,979,452889,Doctor Andr__©s Gluski Weilert,AES CORP,President/CEO,9/30/11,,Executive Director,1,Doctor Andr__©s Gluski Weilert
7,A,1060,598782,Mike McMullen,AGILENT TECHNOLOGIES INC,President/CEO,3/18/15,,Executive Director,1,Mike McMullen
8,APD,1173,24391,Seifi Ghasemi,AIR PRODUCTS & CHEMICALS INC,Chairman/President/CEO,7/1/14,,Executive Director,1,Seifi Ghasemi
9,AKAM,1221,183176,Doctor Tom Leighton,AKAMAI TECHNOLOGIES INC,CEO,1/1/13,,Executive Director,1,Doctor Tom Leighton
10,ALK,1273,220505,Brad Tilden,ALASKA AIR GROUP INC,Chairman/President/CEO,1/1/14,3/31/21,Executive Director,1,Brad Tilden
11,ARE,1354,182964,Joel Marcus,ALEXANDRIA REAL ESTATE EQUITIES INC,Chairman (Executive),4/23/18,,Executive Director,1,Joel Marcus
12,ALXN,1355,1077323,Doctor Ludwig Hantson,ALEXION PHARMACEUTICALS INC (De-listed 07/2021),CEO,3/27/17,7/21/21,Executive Director,1,Doctor Ludwig Hantson
13,AXP,1355,1077323,Doctor Ludwig Hantson,ALEXION PHARMACEUTICALS INC (De-listed 07/2021),CEO,3/27/17,7/21/21,Executive Director,1,Doctor Ludwig Hantson
14,ALGN,1384,32461,Joe Hogan,ALIGN TECHNOLOGY INC,President/CEO,6/1/15,,Executive Director,1,Joe Hogan
15,LNT,1476,896820,John Larsen,ALLIANT ENERGY CORP,Chair/President/CEO,7/1/19,2/27/23,Executive Director,1,John Larsen
16,ALL,1534,34944,Tom Wilson II,ALLSTATE CORP,Chairman/President/CEO,2/23/18,,Executive Director,1,Tom Wilson II
17,SWKS,1573,327486,Liam Griffin,SKYWORKS SOLUTIONS INC (Alpha Industries prior to 6/2002),President/CEO,5/11/16,5/13/21,Executive Director,1,Liam Griffin
18,AMZN,1703,45136,Jeff Bezos,AMAZON.COM INC,Chairman/President/CEO,10/1/00,7/5/21,Executive Director,1,Jeff Bezos
19,PLD,1710,60091,Hamid Moghadam,PROLOGIS INC (AMB Property Corp prior to 06/2011),Chairman/CEO,1/1/13,,Executive Director,1,Hamid Moghadam
20,AEP,1809,533555,Nick Akins,AMERICAN ELECTRIC POWER CO INC,Chairman/President/CEO,1/1/14,8/10/22,Executive Director,1,Nick Akins
21,AEC1,1815,455385,Steve Squeri,AMERICAN EXPRESS CO,Chairman/CEO,2/1/18,,Executive Director,1,Steve Squeri
22,AXP,1815,455385,Steve Squeri,AMERICAN EXPRESS CO,Chairman/CEO,2/1/18,,Executive Director,1,Steve Squeri
23,HES,1970,64947,John Hess,HESS CORP (Amerada Hess prior to 05/2006),CEO,5/16/13,,Executive Director,1,John Hess
24,AEE,1976,51707,Warner Baxter,AMEREN CORP,Chairman/President/CEO,7/1/14,1/1/22,Executive Director,1,Warner Baxter
25,AME,2058,205055,David Zapico,AMETEK INC,Chairman/CEO,7/7/17,,Executive Director,1,David Zapico
26,AMG,2068,534543,Bob Bradway,AMGEN INC,Chairman/President/CEO,1/1/13,,Executive Director,1,Bob Bradway
27,AMGN,2068,534543,Bob Bradway,AMGEN INC,Chairman/President/CEO,1/1/13,,Executive Director,1,Bob Bradway
28,APH,2100,496788,Richard Norwitt,AMPHENOL CORP,President/CEO,1/5/09,,Executive Director,1,Richard Norwitt
29,IVZ,2129,36584,Marty Flanagan,INVESCO LTD (Invesco PLC prior to 12/2007),President/CEO,8/1/05,6/30/23,Executive Director,1,Marty Flanagan
30,ADI,2145,35469,Vincent Roche,ANALOG DEVICES INC,President/CEO,5/6/13,3/9/22,Executive Director,1,Vincent Roche
31,ANSS,2257,545851,Doctor Ajei Gopal,ANSYS INC,President/CEO,1/1/17,,Executive Director,1,Doctor Ajei Gopal
32,ELV,2273,184069,Gail Boudreaux,ELEVANCE HEALTH INC (Anthem Inc prior to 06/2022),President/CEO,11/20/17,,Executive Director,1,Gail Boudreaux
33,APA,2307,535064,John Christmann IV,APA CORP (Apache Corp prior to 03/2021),President/CEO,1/20/15,1/1/24,Executive Director,1,John Christmann IV
34,,2310,87112,The Hon. Terry Considine,APARTMENT INVESTMENT & MANAGEMENT CO (AIMCO),Chairman/CEO,2/10/09,12/15/20,Executive Director,1,The Hon. Terry Considine
35,AIV,2310,87112,The Hon. Terry Considine,APARTMENT INVESTMENT & MANAGEMENT CO (AIMCO),Chairman/CEO,2/10/09,12/15/20,Executive Director,1,The Hon. Terry Considine
36,AAPL,2355,55422,Tim Cook,APPLE INC (Apple Computer Inc prior to 01/2007),CEO,8/24/11,,Executive Director,1,Tim Cook
37,AMAT,2382,50901,Gary Dickerson,APPLIED MATERIALS INC,President/CEO,9/1/13,,Executive Director,1,Gary Dickerson
